KEY,LABEL,PROBA
HRBI-1006,accuracy,99.9
HRBI-958,integrity,94.61
HRBI-851,conformity,99.1
HRBI-830,accuracy,99.57
HRBI-733,conformity,88.62
HRBI-643,accuracy,94.98
HRBI-637,completeness,91.98
HRBI-553,accuracy,95.47
HRBI-547,accuracy,99.67
HRBI-433,accuracy,94.42
HRBI-411,accuracy,99.79
HRBI-306,conformity,99.94
HRBI-288,timeliness,59.28
HRBI-278,conformity,89.75
HRBI-221,integrity,55.72
HRBI-177,timeliness,85.97
HRBI-128,timeliness,86.07
HRBI-82,integrity,63.22
HRBI-71,conformity,99.98
HRBI-22,consistency,85.36
HRBI-4982,timeliness,65.55
HRBI-3430,accuracy,98.84
HRBI-2785,completeness,34.05
HRBI-2755,accuracy,52.32
HRBI-2739,integrity,92.24
HRBI-2703,completeness,48.77
HRBI-2605,integrity,80.95
HRBI-2380,accuracy,95.77
HRBI-2131,accuracy,99.08
HRBI-2083,conformity,83.9
HRBI-2069,accuracy,99.03
HRBI-2061,accuracy,96.47
HRBI-2024,accuracy,96.94
HRBI-1920,conformity,58.63
HRBI-1803,conformity,73.16
HRBI-1698,integrity,61.51
HRBI-1689,accuracy,55.12
HRBI-1553,completeness,86.99
HRBI-1512,accuracy,91.27
HRBI-1300,conformity,84.76
HRBI-1258,conformity,99.88
HRBI-1219,integrity,62.56
HRBI-1217,timeliness,68.19
HRBI-650,accuracy,98.97
HRBI-644,conformity,99.92
HRBI-176,conformity,99.92
HRBI-70,conformity,89.82
HRBI-1094,accuracy,94.54
